ID,PID,Version,Project Name,GitHub Name,Type,Conda Env,Git Status,Git Branch,Path Exists,Path,Note,Additional Params,Commands,Working Dir,Description,Paper Status,Paper Title,Central Claim,Manuscript Path
cell-tracktor,p003,v3.0,Cell-TRACTR,99-CellTracktor,python-ml,99-celltractr,clean,main,yes,F:\GitHub\99-CellTracktor,TrackFormer-based end-to-end CTC baseline. Published PLOS Comp Bio 2025.,,install; run; train; infer; test,code-win11,"Transformer-based (TrackFormer) end-to-end cell detection, segmentation, and tracking in time-lapse microscopy. Published PLOS Comp Bio 2025.",,,,
deep-cstq-gr,p001,v1.0,Deep-CSTQ-GR,Deep_CSTQ,python-ml,Deep-CSTQ,11 change(s),main,yes,F:\GitHub\Deep_CSTQ,Graph-Recurrent Tracking.,use_temporal=GRU,install; run; train; infer; features,,GNN-based cell tracking (GATv2/GCN/GIN/SAGE/Cheb) with GRU temporal modeling (v1.0) for Cell Tracking Challenge datasets.,first-full-draft,Deep-CSTQ-GR: Division-Aware Graph-Recurrent Cell Tracking from Segmentation Masks,Graph spatial modeling combined with GRU temporal reasoning improves cell association.,../../jz-370-research/papers/p001-deep-cstq-gr
deep-cstq-mg,p002,v2.0,Deep-CSTQ-MG,Deep_CSTQ,python-ml,Deep-CSTQ,11 change(s),main,yes,F:\GitHub\Deep_CSTQ,Mamba-Graph Tracking.,use_temporal=Mamba,install; run; train; infer; features,,GNN-based cell tracking (GATv2/GCN/GIN/SAGE/Cheb) with Mamba temporal modeling (v2.0) for Cell Tracking Challenge datasets.,first-full-draft,Deep-CSTQ-MG: Division-Aware Graph-Mamba Cell Tracking from Segmentation Masks,Mamba provides measurable long-range or efficiency advantages over a matched GRU temporal model.,../../jz-370-research/papers/p002-deep-cstq-mg
deep-cstq-datasets,d001,v1.0,Deep-CSTQ-Datasets,Deep_CSTQ_Datasets,python-data,Deep_CSTQ_Datasets,clean,main,yes,F:\GitHub\Deep_CSTQ_Datasets,Synthetic GT dataset generator supporting all Deep-CSTQ model versions.,,install; run; test,,"Synthetic Ground Truth dataset generator for Cell Tracking Challenge sequences — selectively deletes cells/lineage subtrees, produces splits.",,,,
resume,doc001,v1.0,jz-Resume-2026,jz-302-Resume,document,jz-302-Resume,clean,main,yes,F:\GitHub\jz-302-Resume,AI Research Scientist job search materials for 2026.,,,,"Job search materials for AI Research Scientist roles (Healthcare AI/LLM/NLP), 2026. Resumes, cover letters, and search reports.",,,,
openart,art001,v1.0,OpenArt-Pipeline,jz-302-openart,personal,jz-302-openart,clean,main,yes,F:\GitHub\jz-302-openart,AI creative pipeline for stories-to-cinematic-slides generation.,,install; run; sketch; gen-images; build-ppt,,"AI creative pipeline that transforms personal role-based stories into cinematic scene illustrations and PowerPoint slides using Gemini, OpenAI, and Stability AI with character reference photos.",,,,
dissertation,doc002,v1.0,PhD-Dissertation,jz-312-Grad,document,jz-312-Grad,clean,main,yes,F:\GitHub\jz-312-Grad,PhD dissertation on deep learning for biological cell tracking (CS).,,build-docx; build-pdf; build-latex,,"PhD dissertation (CS) on deep learning for biological cell tracking — 9 chapters covering GNNs, transformers, temporal modeling.",,,,
jz-370-research,doc003,v1.0,Research Papers,jz-370-research,document,,clean,main,yes,F:\GitHub\jz-370-research,"Central paper repository for manuscripts, LaTeX/Overleaf projects, and reference material for the registered research projects.",,run; papers; status,,"Central GitHub repository for research papers connected to the project registry. Stores papers for Deep-CSTQ-GR (p001), Deep-CSTQ-MG (p002), Deep-CSTQ-BT-EON (p004), and Cell-TRACTR (p003/published), plus the new BSGM-CellTrack outline (p005). Includes manuscript drafts and Overleaf-ready LaTeX files.",,,,
jz-ai-cstq-v02,p005,v3.2,Deep-CSTQ-BSGM,jz-AI-CSTQ-v02,python-ml,jz-AI-CSTQ-v02,clean,main,yes,F:\GitHub\jz-AI-CSTQ-v02,Bayesian Swin Graph Mamba Cell Tracker.,,install; dry-run; run-epoch; train; resume; retrain; infer; evaluate; diag; prep-data; app,,"BSGM-CellTrack: end-to-end cell tracker for CTC benchmarks combining Swin-T backbone, Temporal Mamba (SSM), GATv2 graph attention, Bayesian Dropout, and Deformable DETR — simultaneous detection, segmentation, and multi-object tracking from raw microscopy images (no mask input required). Target metrics: TRA ≥ 0.94, SEG ≥ 0.88, DET ≥ 0.92.",draft,"BSGM-CellTrack: End-to-End Cell Detection, Segmentation, and Tracking with Bayesian Swin-Mamba Graph Attention","Integrating Bayesian uncertainty, Swin-T vision encoding, Mamba temporal SSMs, and GATv2 graph attention into a single end-to-end framework achieves state-of-the-art CTC metrics from raw images without segmentation mask input.",../../jz-370-research/papers/p005-deep-cstq-bsgm
cell-tracker-gnn-test,other001,,CellTrackerGNN-Test,99-cell-tracker-gnn-test,other,,clean,main,yes,F:\GitHub\99-cell-tracker-gnn-test,Local clone of talbenha/cell-tracker-gnn (ECCV 2022) for local debugging and adaptation. Not an original project.,,run-v01; train-v01; feat-v01; step1-v02; step2-v02; step3-v02; step4-v02; step5-v02,99-cell-tracker-gnn-v01,"Local clone of the ECCV 2022 paper ""Graph Neural Network for Cell Tracking in Microscopy Videos"" (talbenha/cell-tracker-gnn). Contains two sub-versions: v01 (original Windows/Win11 port) and v02-ubu2004 (Ubuntu 20.04 variant with step-based pipeline). Used for understanding the GNN cell tracking baseline, debugging, and adapting ideas into Deep-CSTQ projects.",,,,
